--stream .\stream-rmse-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
9.03472 68.3769
9.04167 68.4336
9.04861 68.4932
9.05556 68.5492
9.0625 68.6055
9.06944 68.6614
9.07639 68.7173
9.08333 68.7742
9.09028 68.8318
9.09722 68.8875
9.10417 68.9434
9.11111 69.0003
9.11806 69.0578
9.125 69.1152
9.13194 69.1724
9.13889 69.2287
9.14583 69.2854
9.15278 69.3432
9.15972 69.4024
9.16667 69.4603
9.17361 69.5182
9.18056 69.5771
9.1875 69.6361
9.19444 69.6957
9.20139 69.7568
9.20833 69.8157
9.21528 69.874
9.22222 69.9323
9.22917 69.9751
9.23611 69.9751
9.24306 69.9751
9.25 70.0051
9.25694 70.066
9.26389 70.1223
9.27083 70.1596
9.27778 70.2116
9.28472 70.2674
9.29167 70.2822
9.29861 70.2822
9.30556 70.2852
9.3125 70.3113
9.31944 70.3113
9.32639 70.3063
9.33333 70.3123
9.34028 70.3123
9.34722 70.3188
9.35417 70.3717
